,Date,SumA,SumB,SumC,SumD,POD,FAR,Accuracy,Start,Duration
2018356,2018-12-22 00:00:00,2614022,238573,257804,503354,0.9102299373290722,0.08363367390043101,0.862642244779873,2021-03-11 15:24:23.341799,37.457411
2018357,2018-12-23 00:00:00,0,0,0,0,,,,2021-03-11 15:24:23.341799,36.795198
2018358,,,,,,,,,,
2018359,,,,,,,,,,
2018360,2018-12-26 00:00:00,977508,167814,210293,375242,0.8229560338810963,0.14652124031495073,0.7815492556577465,2021-03-11 15:24:23.341799,37.76201
2018361,2018-12-27 00:00:00,1584980,167999,315719,302690,0.8338932150750855,0.09583628782774922,0.7960190403257501,2021-03-11 15:24:23.341799,37.798326
2018362,2018-12-28 00:00:00,2223014,158126,271078,343009,0.8913119483964504,0.06640768707425855,0.8567040160895986,2021-03-11 15:24:23.341799,36.944596
2018363,2018-12-29 00:00:00,2477513,215446,311997,339135,0.8881534749830615,0.08000344602350054,0.8422761222705961,2021-03-11 15:24:23.341799,38.477115
2018364,2018-12-30 00:00:00,1936764,242750,502399,434985,0.7940281153822029,0.11137804115963468,0.7609325040472932,2021-03-11 15:24:23.341799,38.36384
2018365,2018-12-31 00:00:00,1310819,164573,262727,337102,0.8330350685648846,0.11154527068060556,0.7940942193626607,2021-03-11 15:24:23.341799,38.406759
2019001,2019-01-01 00:00:00,2223065,289705,466508,561089,0.8265494188110901,0.1152930829323814,0.7864026526063541,2021-03-11 15:24:23.341799,29.200399
2019002,,,,,,,,,,
2019003,2019-01-03 00:00:00,2389437,210224,285599,480697,0.8932354555228416,0.08086592828834221,0.8526947908128357,2021-03-11 15:24:23.341799,30.062513
2019004,2019-01-04 00:00:00,2522324,202357,360209,528616,0.8750373369532977,0.0742681436836092,0.8443157421075266,2021-03-11 15:24:23.341799,29.336079
2019005,2019-01-05 00:00:00,1641660,192606,258613,391481,0.8639074490875784,0.10500439957999548,0.818376161264873,2021-03-11 15:24:23.341799,29.751869
2019006,2019-01-06 00:00:00,1675572,171937,160168,330112,0.9127501715929272,0.09306422864516492,0.8579405583651903,2021-03-11 15:24:23.341799,30.133044
2019007,2019-01-07 00:00:00,2145254,204023,287410,441730,0.8818538030735029,0.08684501657318401,0.8403617833451413,2021-03-11 15:24:23.341799,31.277568
2019008,2019-01-08 00:00:00,1816136,115913,207802,261202,0.8973278825734781,0.05999485520294775,0.8651779031949732,2021-03-11 15:24:23.341799,30.82645
2019009,2019-01-09 00:00:00,1907551,143361,156167,373189,0.924327354803321,0.06990109765801751,0.8839159343138,2021-03-11 15:24:23.341799,31.927273
2019010,2019-01-10 00:00:00,1649414,189199,186831,487071,0.898253773325455,0.1029031122917112,0.8503372119171427,2021-03-11 15:24:23.341799,30.348643
2019011,2019-01-11 00:00:00,1974518,190204,180326,542866,0.9163159838948899,0.08786532404622857,0.8716963178266389,2021-03-11 15:24:23.341799,30.580402
2019012,2019-01-12 00:00:00,1819340,226405,354914,627217,0.8367651617520309,0.11067117358224021,0.808010962139797,2021-03-11 15:24:23.341799,29.756171
2019013,2019-01-13 00:00:00,2005544,225606,386662,765029,0.8383659266802274,0.10111646460345562,0.819007751177191,2021-03-11 15:24:23.341799,30.244769
2019014,2019-01-14 00:00:00,2467384,231519,415112,648797,0.8559886986833634,0.08578263094301648,0.8281521904363014,2021-03-11 15:24:23.341799,30.458869
2019015,2019-01-15 00:00:00,1681668,201501,297797,471983,0.8495568246975824,0.10700101796493039,0.8117951004712115,2021-03-11 15:24:23.341799,31.197002
